juv,mum,sex,start,end,mum_juv_year,mj.gg,mj.gm,mj.rc
stre,sput,F,2010-03-04,2011-03-04,2,0.028194226896397404,0.027522935779816515,0.017453569031103153
stre,sput,F,2011-03-04,2012-03-03,3,0.020105605199025184,0.018480909829406988,0.006092607636068237
stre,sput,F,2012-03-03,2013-03-03,4,0.022336769759450172,0.015034364261168385,0.012027491408934709
stre,sput,F,2013-03-03,2014-03-03,5,0.021585720215857203,0.0136986301369863,0.0136986301369863
stre,sput,F,2014-03-03,2015-03-03,6,0.03143605620385806,0.01738509168849726,0.00714455822814956
stre,sput,F,2015-03-03,2015-08-01,7,0.003959276018099547,0.0016968325791855204,0
tatu,twin,M,2009-03-01,2010-03-01,1,0.0048005908419497785,0.0048005908419497785,0.1827917282127031
tatu,twin,M,2010-03-01,2011-03-01,2,0.042650768172437514,0.042650768172437514,0.02614079339601009
tatu,twin,M,2011-03-01,2012-02-29,3,0.032994397177837725,0.03216434945009338,0.017846026146503425
tatu,twin,M,2012-02-29,2013-02-28,4,0.031841652323580036,0.030120481927710843,0.010327022375215147
tatu,twin,M,2013-02-28,2014-02-28,5,0.00616758826031476,0.0057422373458102935,0.007868991918332624
tatu,twin,M,2014-02-28,2015-02-28,6,0.01978728666831561,0.017808558001484048,0.01409844175117487
tatu,twin,M,2015-02-28,2015-08-01,7,0.011692650334075724,0.011135857461024499,0.008351893095768375
tesl,twin,F,2013-03-03,2014-03-03,1,0.008030431107354184,0.008030431107354184,0.1565934065934066
tesl,twin,F,2014-03-03,2015-03-03,2,0.014840465001236706,0.014840465001236706,0.01805589908483799
tesl,twin,F,2015-03-03,2015-08-01,3,0.002880184331797235,0.0017281105990783411,0.0017281105990783411
ting,tang,M,2011-01-18,2012-01-18,1,0.025210084033613446,0.025210084033613446,0.1619747899159664
ting,tang,M,2012-01-18,2013-01-17,2,0.026382439848037148,0.026382439848037148,0.03186998733642887
ting,tang,M,2013-01-17,2014-01-17,3,0.01725952431067144,0.016417596295516732,0.01010313618185645
ting,tang,M,2014-01-17,2015-01-17,4,0.01752723827569872,0.01397441970630033,0.010421601136901942
ting,tang,M,2015-01-17,2015-08-01,5,0.017543859649122806,0.01540436456996149,8.557980316645272e-4
